id	claim_location	risk	status	claim_or_guardrail	provenance
PKG-003	references/identifiers-and-packaging.md#nesting-trap	high	corrected	Inspect archive members: top-level tars often share ASA prefix, nested archives generally do not.	Current QA2 guide; Cycle 4–11 corpus
PKG-004	references/identifiers-and-packaging.md#what-datalink-offers	high	new	Nested DataLink file downloads can flatten path context; top-level auxiliary tar preserves structure.	Live nested DataLink enumeration
PKG-005	references/identifiers-and-packaging.md#packaging-eras	high	corrected	Cycle 0 calibrated MS is documented; early-Cycle-1 PI-delivery MSs are not currently retrievable.	Archive Manual; official packaging KB
PKG-006	SKILL.md#guardrail-6	high	confirmed	Absence in a partial Request Handler selection is not processing evidence.	Current Archive/QA2 manuals
PKG-007	references/identifiers-and-packaging.md#nested-second-level-archives	medium	confirmed	Legacy restore packages can use .tar.gz where later tasks expect .tgz.	QA2/restore documentation
PKG-008	references/identifiers-and-packaging.md#nested-second-level-archives	high	corrected	cont.dat grammar and semantics are release-dependent; omitted, empty, and ranged SPWs differ.	PL2023/PL2024 guides; Cycle 5–11 corpus
QA-001	SKILL.md#guardrail-8	high	confirmed	qa2_passed Boolean cannot recover PASS/SEMIPASS/FAIL.	ObsCore schema; three SEMIPASS package counterexamples with qa2_passed=T
QA-002	references/products-and-qa.md#qa-levels	high	confirmed	QA0 applies per execution and QA2 per MOUS; file presence alone is not a verdict.	Current QA2 products guide; package QA reports
QA-003	references/products-and-qa.md#machine-readable-run-artifacts	medium	corrected	Manifest/XML/JSON fields are versioned evidence, not a stable universal schema.	Pipeline guides; Cycle 5–11 package corpus
QA-004	references/products-and-qa.md#fits-product-filename-grammar	medium	corrected	Product tokens form a versioned family, not a strict positional grammar.	Cycle-specific QA2 guides; DataLink inventories
MS-001	references/asdm-and-ms.md#data-and-corrected_data-semantics	high	new	Target MS view names change at PL2022; Cycle 9 corrected data can mean continuum subtraction, while PL2023+ corrected data can hold successful selfcal.	PL2022/PL2023 guides; sampled producing CASA commands
MS-002	references/listobs-and-intents.md#multiple-listobs-views	high	new	Cycles 4–8 sampled singular _target; Cycles 9–11 sampled plural _targets and _targets_line.	Eight public PASS package samples
PIPE-001	references/pipeline-history.md#how-to-read-status-statements	high	confirmed	Task existence, recipe inclusion, default, attempt, success, and delivery must remain separate.	Pipeline User's Guides/Reference Manuals; runtime corpus
PIPE-002	references/pipeline-history.md#operations-release-matrix	high	confirmed	PL2021 introduces renorm in recipes; PL2024 changes renorm to a caltable.	PL2021 and PL2024 User's Guides/Reference Manuals
PIPE-003	references/pipeline-history.md#operations-release-matrix	high	confirmed	PL2022 creates _targets and _targets_line processing views before selfcal.	PL2022 User's Guide; Cycle 9 corpus
PIPE-004	references/pipeline-history.md#operations-release-matrix	high	confirmed	PL2023 attempts eligible single-field selfcal; attempt does not imply success or selfcal delivery.	PL2023 User's Guide; Cycle 10 empty scal_targets artifact
PIPE-005	references/pipeline-history.md#operations-release-matrix	high	confirmed	PL2025 expands selfcal to mosaics and full-pol target imaging to IQUV, but public Cycle 12 package evidence was unavailable.	PL2025 User's Guide; no public 2025.1 ObsCore rows on review date
PIPE-006	references/pipeline-history.md#operations-release-matrix	high	confirmed	PL2025.1.0.36 could omit either repBW or full-resolution cube; .37 fixes export.	Official pipeline known-issues page and operations table
PIPE-007	references/pipeline-history.md#other-identifiable-builds	high	conflict-retained	Cycle 6/7 and 2020.1 internal build dates conflict across official sources.	Operations table versus PL5.4/5.6/2020 User's Guides
SAMPLE-001	review/findings-sample.md	high	new	Cycle 4 manual package structure differs materially from the nested modern pipeline auxiliary pattern.	Public PASS Cycle 4–11 package corpus
SAMPLE-002	review/findings-sample.md	high	new	A recipe/stage/selfcal JSON filename is not proof of a successful result.	Cycle 10/11 packages with empty scal_targets; stage scripts
SAMPLE-003	review/findings-sample.md	medium	new	Cycle 9+ sampled weblogs add pipeline_aquareport.xml and applycalQA_outliers.txt and new target MS views.	Public PASS Cycle 5–11 weblog corpus
RESTORE-001	references/products-and-qa.md#getting-a-calibrated-measurementset	high	new	A normal local MS restore requires auxiliary plus raw ASDMs; numbered FITS product tars are optional unless package instructions say otherwise.	Current generic delivery README; eight-sample DataLink/package corpus
QA-005	references/products-and-qa.md#machine-readable-qa-artifacts	high	new	applycalQA_outliers.txt presence does not prove an outlier; sampled PL2022–PL2024 files contained threshold settings only.	Three sampled PL2022–PL2024 weblog artifacts
PKG-009	references/products-and-qa.md#cross-checking-which-ebs-made-it	high	corrected	PPR/manifest/calibration EB lists describe the processed set, which can differ legitimately from associated raw MOUS membership.	QA2 guidance; PASS/SEMIPASS sample corpus
PKG-010	references/identifiers-and-packaging.md#nesting-trap	medium	new	Top-level tar mtimes can be archive-repackaging dates rather than observation, pipeline, or QA2 dates.	Sampled Cycle 5–9 tars with 2025-07-01 mtimes and older PPR/weblogs
ARCH-013	references/mosaics-ephemeris-and-tp.md#total-power-tp	high	confirmed-dated	Current TP s_region can show one antenna pointing rather than the full mapped area; recheck the live issue before use.	Official Archive known-issues page checked 2026-07-18 on EU/NA mirrors
